English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
observation,B1,feminine,osservazione,,,,L'osservazione è una parte fondamentale del metodo scientifico.,Observation is a fundamental part of the scientific method.,
"get, obtain",B1,verb,ottenere,,,,"Per ottenere buoni risultati, serve molta pratica.","To get good results, you need a lot of practice.",
obviously,B1,adverb,ovviamente,,,,Ovviamente non possiamo accettare queste condizioni.,Of course we cannot accept these conditions.,
obvious,B1,adjective,ovvio,,,,È ovvio che hai studiato molto per questo test.,It is obvious that you have studied a lot for this test.,
"stand, platform",B1,masculine,palco,,,,Il cantante è salito sul palco tra gli applausi.,The singer stepped onto the stage amid applause.,
panic,B1,masculine,panico,,,,"Quando è mancata la corrente, c’è stato un momento di panico.","When the power went out, there was a moment of panic.",
"paradise, heaven",B1,masculine,paradiso,,,,Per lui la montagna è un paradiso dove rilassarsi.,"For him, the mountain is a paradise where he can relax.",
parade,B1,feminine,parata,,,,Abbiamo visto una parata colorata in centro.,We saw a colorful parade downtown.,
quite a lot,B1,determiner,parecchio,,,,C'è parecchio zucchero nella torta.,There's quite a lot of sugar in the cake.,
quite a lot,B1,adverb,parecchio,,,,Mi piace parecchio questo libro.,I really like this book.,
quite a lot,B1,pronoun,parecchio,,,,Ne ho mangiato parecchio ieri sera.,I ate quite a lot of it last night.,
seem,B1,verb,parere,,,,"Mi pare una buona idea, ma non sono sicuro.","It seems like a good idea to me, but I'm not sure.",
parliament,B1,feminine,parlamento,,,,Il parlamento discuterà la nuova legge domani.,The parliament will discuss the new law tomorrow.,
participant,B1,noun,partecipante,,,,Ogni partecipante deve firmare il modulo prima dell'inizio.,Each participant must sign the form before the start.,
"particular, peculiar",B1,adjective,particolare,,,,Ha un gusto particolare ma molto piacevole.,It has a peculiar but very pleasant taste.,
"party, political party",B1,masculine,partito,,,,Ha lasciato il partito per motivi personali.,He left the party for personal reasons.,
passage,B1,masculine,passaggio,,,,Il passaggio da una cultura all'altra richiede tempo.,The passage from one culture to another takes time.,
passion,B1,feminine,passione,,,,Ha una vera passione per la musica classica.,He has a true passion for classical music.,
passive,B1,adjective,passivo,,,,Rimane sempre passivo nelle discussioni importanti.,He always remains passive in important discussions.,
floor,B1,masculine,pavimento,,,,"Il pavimento è bagnato, fai attenzione.","The floor is wet, be careful.",
patient,B1,adjective,paziente,,,,È sempre molto paziente con i bambini.,He is always very patient with children.,
patience,B1,feminine,pazienza,,,,Serve pazienza per imparare una nuova lingua.,You need patience to learn a new language.,
pedestrian,B1,masculine,pedone,,,,Un pedone ha attraversato senza guardare e ha rischiato molto.,A pedestrian crossed without looking and risked a lot.,
"worse, worst",B1,adverb,peggio,,,,Oggi mi sento peggio di ieri.,Today I feel worse than yesterday.,
sentence,B1,feminine,pena,,,,Ha dovuto scontare una pena di cinque anni.,He had to serve a five-year sentence.,
necessarily,B1,adverb,per forza,,,,Non devi per forza venire se sei stanco.,You don't have to come if you're tired.,
percentage,B1,feminine,percentuale,,,,Una percentuale alta degli studenti ha superato l'esame.,A high percentage of students passed the exam.,
therefore,B1,conjunction,perciò,,,,"Non aveva studiato, perciò ha preso un brutto voto.","He hadn’t studied, therefore he got a bad grade.",
"route, run",B1,masculine,percorso,,,,Il percorso per arrivare al rifugio è ben segnalato.,The route to the mountain hut is well marked.,
loss,B1,feminine,perdita,,,,La perdita del suo cane lo ha reso molto triste.,The loss of his dog made him very sad.,
forgiveness,B1,masculine,perdono,,,,Ha chiesto perdono per il suo errore.,He asked for forgiveness for his mistake.,
perfectly,B1,adverb,perfettamente,,,,Hai spiegato la situazione perfettamente.,You explained the situation perfectly.,
personality,B1,feminine,personalità,,,,La sua personalità è forte ma anche molto sensibile.,Her personality is strong but also very sensitive.,
pleasant,B1,adjective,piacevole,,,,Abbiamo passato una serata molto piacevole insieme.,We spent a very pleasant evening together.,
plan,B1,verb,pianificare,,,,Dobbiamo pianificare le vacanze con anticipo.,We need to plan the holidays in advance.,
spicy,B1,adjective,piccante,,,,Non mi piace il cibo troppo piccante.,I don't like food that's too spicy.,
lane,B1,feminine,pista,,,,Questa pista è riservata ai corridori professionisti.,This lane is reserved for professional runners.,
"rather, quite",B1,adverb,piuttosto,,,,Sono piuttosto stanco dopo la camminata.,I’m quite tired after the walk.,
podcast,B1,masculine,podcast,,,,Ascolto un podcast interessante ogni mattina.,I listen to an interesting podcast every morning.,
"since, because, as",B1,conjunction,poiché,,,,"Poiché pioveva, abbiamo deciso di restare a casa.","Because it was raining, we decided to stay home.",
political,B1,adjective,politico,,,,Il discorso politico ha suscitato molte reazioni.,The political speech has caused many reactions.,
politician,B1,masculine,politico,,,,Quel politico ha molta esperienza e parla in modo chiaro.,That politician is very experienced and speaks clearly.,
wrist,B1,masculine,polso,,,,Mi sono fatto male al polso durante l'allenamento.,I hurt my wrist during training.,
"dust, powder",B1,feminine,polvere,,,,"C'è polvere su tutti i mobili, dobbiamo pulire.",There's dust on all the furniture; we need to clean.,
pump,B1,feminine,pompa,,,,"La pompa non funziona, non riesco a gonfiare la ruota.",The pump doesn't work—I can't inflate the tire.,
population,B1,feminine,popolazione,,,,La popolazione mondiale cresce ogni anno.,The world population is growing every year.,
people,B1,masculine,popolo,,,,Il popolo ha manifestato per chiedere nuove elezioni.,The people demonstrated to demand new elections.,
laptop,B1,masculine,portatile,,,,Ho comprato un nuovo portatile per lavorare da casa.,I bought a new laptop to work from home.,
car door,B1,feminine,portiera,,,,"La portiera dell'auto è bloccata, non si apre.","The car door is stuck, it won't open.",
poor thing,B1,masculine,poverino,,,,Quel poverino ha perso il treno ed era molto deluso.,That poor guy missed the train and was very disappointed.,
poverty,B1,feminine,povertà,,,,La povertà è un problema ancora presente in molte parti del mondo.,Poverty is still a problem in many parts of the world.,
practical,B1,adjective,pratico,,,,È un metodo pratico per risparmiare tempo.,It is a practical way to save time.,
precision,B1,feminine,precisione,,,,Ha costruito il modello con grande precisione e pazienza.,He built the model with great precision and patience.,
pray,B1,verb,pregare,,,,Ogni sera prego prima di andare a dormire.,Every night I pray before going to sleep.,
prayer,B1,feminine,preghiera,,,,Ogni sera recita una preghiera prima di dormire.,Every evening she says a prayer before going to sleep.,
worry,B1,verb,preoccupare,,,,Questa situazione comincia a preoccupare i genitori.,This situation is starting to worry the parents.,
pressure,B1,feminine,pressione,,,,Sento molta pressione prima di un esame importante.,I feel a lot of pressure before an important exam.,
prisoner,B1,masculine,prigioniero,,,,Il prigioniero ha scritto una lettera alla sua famiglia.,The prisoner wrote a letter to his family.,
main,B1,adjective,principale,,,,Il problema principale è la mancanza di informazioni.,The main problem is the lack of information.,
probably,B1,adverb,probabilmente,,,,Probabilmente arriverò con qualche minuto di ritardo.,I will probably be a few minutes late.,
procedure,B1,feminine,procedura,,,,Seguiamo la procedura indicata nel manuale.,Let's follow the procedure outlined in the manual.,
"trial, process",B1,masculine,processo,,,,Il processo durerà almeno tre settimane.,The trial will last at least three weeks.,
produce,B1,verb,produrre,,,,La nostra fabbrica produce componenti elettronici.,Our factory makes electronic components.,
production,B1,feminine,produzione,,,,La produzione del film è durata più di un anno.,The film’s production lasted more than a year.,
professional,B1,adjective,professionale,,,,Ha un atteggiamento molto professionale sul lavoro.,He has a very professional attitude at work.,
profit,B1,masculine,profitto,,,,Ha ottenuto un grande profitto con quell'investimento.,He made a big profit with that investment.,
"deep, profound",B1,adjective,profondo,,,,Il lago è molto profondo in quel punto.,The lake is very deep there.,
plan,B1,verb,progettare,,,,Stiamo progettando un viaggio per l'estate.,We are planning a trip for the summer.,
progress,B1,masculine,progresso,,,,Abbiamo fatto molti progressi in poco tempo.,We've made a lot of progress in a short time.,
propose,B1,verb,proporre,,,,Vorrei proporre una nuova idea per il progetto.,I’d like to propose a new idea for the project.,
protest,B1,feminine,protesta,,,,La protesta degli studenti è stata pacifica ma decisa.,The student protest was peaceful but firm.,
protest,B1,verb,protestare,,,,Molti cittadini hanno deciso di protestare contro le nuove regole.,Many citizens decided to protest against the new rules.,
publish,B1,verb,pubblicare,,,,Hanno deciso di pubblicare un libro sui loro viaggi.,They decided to publish a book about their travels.,
punish,B1,verb,punire,,,,Il giudice ha deciso di punire l'imputato.,The judge decided to punish the defendant.,
episode,B1,feminine,puntata,,,,La prossima puntata della serie sarà molto emozionante.,The next part of the series will be very exciting.,
point of view,B1,expression,punto di vista,,,,"Dal mio punto di vista, questa proposta è la migliore.","From my point of view, this proposal is the best.",
pure,B1,adjective,puro,,,,Preferisco bere acqua pura senza zuccheri.,I prefer to drink pure water without sugar.,
down here,B1,adverb,quaggiù,,,,Quaggiù fa più caldo che in cima alla collina.,Down here it's warmer than at the top of the hill.,
quality,B1,feminine,qualità,,,,Questa macchina è famosa per la qualità dei materiali.,This car is famous for the quality of its materials.,
any,B1,determiner,qualsiasi,,,,Puoi scegliere qualsiasi piatto dal menu.,You can choose any dish from the menu.,
quantity,B1,feminine,quantità,,,,Abbiamo comprato una grande quantità di frutta.,We bought a large quantity of fruit.,
up here,B1,adverb,quassù,,,,Quassù l'aria è fresca e pulita.,Up here the air is fresh and clean.,
"issue, matter",B1,feminine,questione,,,,La questione è più complessa di quanto sembri.,The issue is more complex than it seems.,
"daily, everyday",B1,adjective,quotidiano,,,,Leggo il giornale quotidiano ogni mattina.,I read the daily newspaper every morning.,
"gather, harvest, raise",B1,verb,raccogliere,,,,Abbiamo deciso di raccogliere fondi per aiutare le famiglie colpite dall'alluvione.,We decided to raise money to help families affected by the flood.,
gathering,B1,feminine,raccolta,,,,La raccolta differenziata è importante per proteggere l'ambiente.,Recycling is important to protect the environment.,
recommend,B1,verb,raccomandare,,,,"Ti raccomando questo ristorante, si mangia davvero bene.","I recommend this restaurant, the food is really good.",
cool,B1,verb,raffreddare,,,,Lascia la torta a raffreddare prima di servirla.,Let the cake cool before serving.,
"reach, achieve",B1,verb,raggiungere,,,,Siamo riusciti a raggiungere un accordo dopo una lunga discussione.,We managed to reach an agreement after a long discussion.,
"report, relationship",B1,masculine,rapporto,,,,Il rapporto tra i due colleghi è migliorato nel tempo.,The relationship between the two colleagues has improved over time.,
king,B1,masculine,re,,,,Il re ha firmato un decreto che cambia la legge elettorale.,The king signed a decree changing the election law.,
react,B1,verb,reagire,,,,Non sapeva come reagire alla notizia improvvisa.,He didn’t know how to react to the sudden news.,
reaction,B1,feminine,reazione,,,,La sua reazione alla notizia è stata molto emotiva.,His reaction to the news was very emotional.,
recent,B1,adjective,recente,,,,L'articolo parla di un fatto molto recente.,The article talks about a very recent event.,
director,B1,noun,regista,,,,Il regista ha ricevuto un premio internazionale per il suo film.,The director received an international award for his film.,
register,B1,verb,registrare,,,,Devo registrare la lezione per riascoltarla più tardi.,I have to record the lesson to listen to it again later.,
register,B1,masculine,registro,,,,Controlla il tuo nome nel registro degli studenti.,Check your name in the student register.,
relationship,B1,feminine,relazione,,,,Hanno una relazione da più di cinque anni.,Have been in a relationship for more than five years.,
religion,B1,feminine,religione,,,,A scuola abbiamo parlato delle principali religioni del mondo.,In school we talked about the world's major religions.,
religious,B1,adjective,religioso,,,,Lui è molto religioso e partecipa a tutte le funzioni.,He is very religious and attends all the services.,
republic,B1,feminine,repubblica,,,,L'Italia è una repubblica parlamentare con un presidente eletto.,Italy is a parliamentary republic with an elected president.,
"breathing, respiration",B1,feminine,respirazione,,,,Durante l'esercizio fisico la respirazione diventa più veloce.,"During physical exercise, breathing becomes faster.",
net,B1,feminine,rete,,,,Abbiamo problemi con la rete internet da questa mattina.,We have problems with the internet since this morning.,
summarize,B1,verb,riassumere,,,,Alla fine della lezione dobbiamo riassumere i punti principali.,At the end of the lesson we need to summarize the main points.,
summary,B1,masculine,riassunto,,,,Il riassunto del capitolo era chiaro e semplice.,The summary of the chapter was clear and simple.,
"research, search, quest",B1,feminine,ricerca,,,,Stanno conducendo una nuova ricerca sul cambiamento climatico.,They are conducting new research on climate change.,
require,B1,verb,richiedere,,,,Il lavoro richiede molta attenzione e precisione.,The work requires a lot of attention and precision.,
"request, demand",B1,feminine,richiesta,,,,Ho fatto una richiesta al direttore per cambiare orario.,I made a request to the director to change the schedule.,
ridiculous,B1,adjective,ridicolo,,,,"È stato un errore ridicolo, ma tutti hanno riso.","It was a ridiculous mistake, but everyone laughed.",
reference,B1,masculine,riferimento,,,,Ho trovato il libro grazie al riferimento che mi hai dato.,I found the book thanks to the reference you gave me.,
refuse,B1,verb,rifiutare,,,,Ha deciso di rifiutare l'offerta di lavoro.,He decided to refuse the job offer.,
waste,B1,masculine,rifiuto,,,,Il rifiuto deve essere separato per tipo.,The waste must be separated by type.,
reflect,B1,verb,riflettere,,,,Devi riflettere bene prima di prendere una decisione così importante.,You have to think carefully before making such an important decision.,
striped,B1,adjective,rigato,,,,Indossa una maglietta a maniche corte rigata.,He's wearing a short-sleeved striped shirt.,
relaxing,B1,adjective,rilassante,,,,Una passeggiata nel parco è sempre rilassante dopo una giornata stressante.,A walk in the park is always relaxing after a stressful day.,
repetition,B1,feminine,ripetizione,,,,La ripetizione è utile per memorizzare meglio.,Repetition is useful for memorizing better.,
risk,B1,verb,rischiare,,,,Non voglio rischiare di perdere il treno.,I don’t want to risk missing the train.,
risk,B1,masculine,rischio,,,,Guidare sotto la pioggia aumenta il rischio di incidenti.,Driving in the rain increases the risk of accidents.,
solve,B1,verb,risolvere,,,,Dobbiamo risolvere questo problema prima dell'inizio della riunione.,We need to solve this problem before the meeting starts.,
"pace, rhythm",B1,masculine,ritmo,,,,Mi piace correre seguendo il ritmo della musica.,I like running to the rhythm of the music.,
"recover, reconnect with",B1,verb,ritrovare,,,,"Dopo tanti anni, sono riuscito a ritrovare un vecchio amico.","After so many years, I managed to reconnect with an old friend.",
manage,B1,verb,riuscire,,,,"Con impegno e pazienza, puoi riuscire in tutto ciò che vuoi.","With commitment and patience, you can succeed in anything you want.",
review,B1,verb,rivedere,,,,Devo rivedere il mio testo prima di consegnarlo.,I need to review my text before turning it in.,
routine,B1,feminine,routine,,,,Seguo sempre la stessa routine al mattino.,I always follow the same morning routine.,
ruin,B1,feminine,rovina,,,,La rovina del castello è visitabile tutto l'anno.,The castle ruins are open to visitors all year.,
ruin,B1,verb,rovinare,,,,La pioggia ha rovinato il nostro picnic al parco.,Rain ruined our picnic in the park.,
role,B1,masculine,ruolo,,,,Nel progetto ognuno ha un ruolo ben definito.,Everyone has a definite role in the project.,
wisdom,B1,feminine,saggezza,,,,"La saggezza non si ottiene in un giorno, ma con l'esperienza.","Wisdom is not gained in one day, but through experience.",
wise,B1,adjective,saggio,,,,Mio nonno è un uomo molto saggio.,My grandfather is a very wise man.,
saint,B1,feminine,santa,,,,La santa ha dedicato tutta la sua vita ad aiutare i poveri.,The saint dedicated her whole life to helping the poor.,
holy,B1,adjective,santo,,,,Questo è un luogo santo per molte persone.,This is a holy place for many people.,
saint,B1,masculine,santo,,,,San Francesco è un santo molto conosciuto in Italia.,Saint Francis is a very well-known saint in Italy.,
tasty,B1,adjective,saporito,,,,"Questo piatto è molto saporito, hai usato delle spezie?","This dish is very tasty, did you use spices?",
sauna,B1,feminine,sauna,,,,"Dopo la palestra, ci rilassiamo nella sauna.","After the gym, we relax in the sauna.",
"hurry up, get rid",B1,verb,sbrigarsi,,,,Devi sbrigarti o perderai il treno.,You need to hurry or you'll miss the train.,
escalator,B1,feminine,scala mobile,,,,Saliamo con la scala mobile al secondo piano.,We go up to the second floor using the escalator.,
heat,B1,verb,scaldare,,,,Puoi scaldare la minestra sul fornello?,Can you heat the soup on the stove?,
exchange,B1,verb,scambiare,,,,Abbiamo deciso di scambiare i regali domani.,We decided to exchange gifts tomorrow.,
exchange,B1,masculine,scambio,,,,Abbiamo fatto uno scambio culturale con una scuola francese.,We did a cultural exchange with a French school.,
"card, tab",B1,feminine,scheda,,,,Ho perso la scheda del telefono e non posso chiamare.,I lost my phone card and I can’t make calls.,
disgust,B1,masculine,schifo,,,,Quel cibo mi fa proprio schifo.,That food really disgusts me.,
discovery,B1,feminine,scoperta,,,,La scoperta di questo reperto archeologico è molto importante.,The discovery of this archaeological artifact is very important.,
"purpose, goal",B1,masculine,scopo,,,,Lo scopo di questo esercizio è migliorare la comprensione orale.,The purpose of this exercise is to improve listening comprehension.,
"base, office",B1,feminine,sede,,,,La nuova sede dell'azienda si trova vicino alla stazione.,The company's new headquarters is located near the station.,
mark,B1,verb,segnare,,,,Il calciatore ha segnato un gol importante.,The soccer player scored an important goal.,
mark,B1,masculine,segno,,,,C'era un segno strano sul muro.,There was a strange mark on the wall.,
seminar,B1,masculine,seminario,,,,Parteciperò a un seminario sul cambiamento climatico.,I will attend a seminar on climate change.,
sentence,B1,feminine,sentenza,,,,La sentenza finale sarà letta domani in tribunale.,The final sentence will be read tomorrow in court.,
path,B1,masculine,sentiero,,,,Il sentiero conduce a un piccolo lago nascosto.,The path leads to a small hidden lake.,
separation,B1,feminine,separazione,,,,La separazione dei genitori è stata difficile per i figli.,The parents’ separation was difficult for the children.,
serene,B1,adjective,sereno,,,,Il lago era calmo e l'ambiente molto sereno.,The lake was calm and the environment very peaceful.,
sector,B1,masculine,settore,,,,Lavoro nel settore turistico da diversi anni.,I've worked in the tourism sector for several years.,
severe,B1,adjective,severo,,,,Il professore è severo ma giusto.,The teacher is strict but fair.,
section,B1,feminine,sezione,,,,La sezione B è riservata agli studenti stranieri.,Section B is reserved for international students.,
challenge,B1,feminine,sfida,,,,Affrontare questa sfida mi ha aiutato a crescere come persona.,Facing this challenge helped me grow as a person.,
"challenge, defy",B1,verb,sfidare,,,,Abbiamo deciso di sfidare la squadra campione in carica.,We decided to challenge the defending champion team.,
"unlucky, unfortunate",B1,adjective,sfortunato,,,,È stato sfortunato a perdere l'autobus due volte oggi.,He was unlucky to miss the bus twice today.,
effort,B1,masculine,sforzo,,,,"Con uno sforzo comune, siamo riusciti a finire il progetto in tempo.","With a joint effort, we managed to finish the project on time.",
gaze,B1,masculine,sguardo,,,,Il suo sguardo era pieno di emozione.,His gaze was full of emotion.,
"security, safety",B1,feminine,sicurezza,,,,La sicurezza sul lavoro è una priorità in questa azienda.,Work safety is a priority in this company.,
symbol,B1,masculine,simbolo,,,,Il cuore è spesso considerato il simbolo dell'amore.,The heart is often considered the symbol of love.,
single,B1,adjective,singolo,,,,"Vive da solo, è ancora single.",He lives alone—he's still single.,
solar system,B1,masculine,sistema solare,,,,Il sistema solare comprende otto pianeti.,The solar system includes eight planets.,
site,B1,masculine,sito,,,,Il sito ufficiale del museo offre informazioni aggiornate sulle mostre.,The museum's official website offers up-to-date information on exhibitions.,
website,B1,masculine,sito web,,,,Ho trovato l'informazione sul sito web della scuola.,I found the information on the school's website.,
social,B1,adjective,sociale,,,,Viviamo in una società sempre più sociale e connessa.,We live in an increasingly social and connected society.,
socialize,B1,verb,socializzare,,,,Mi piace socializzare con persone di culture diverse.,I like to socialize with people from different cultures.,
sociable,B1,adjective,socievole,,,,Luca è molto socievole e fa amicizia facilmente.,Luca is very sociable and makes friends easily.,
satisfy,B1,verb,soddisfare,,,,Il cibo non è riuscito a soddisfare le mie aspettative.,The food didn’t manage to satisfy my expectations.,
satisfied,B1,adjective,soddisfatto,,,,Sono soddisfatto del mio risultato all’esame.,I’m satisfied with my exam result.,
satisfaction,B1,feminine,soddisfazione,,,,Ha provato una grande soddisfazione dopo la vittoria.,He felt great satisfaction after the victory.,
ceiling,B1,masculine,soffitto,,,,Il soffitto è stato appena tinteggiato di bianco.,The ceiling has just been painted white.,
software,B1,masculine,software,,,,Ho installato un nuovo software sul computer.,I installed new software on the computer.,
solar,B1,adjective,solare,,,,L'energia solare è una risorsa pulita.,Solar energy is a clean resource.,
solid,B1,adjective,solido,,,,Questo tavolo è molto solido e stabile.,This table is very solid and stable.,
"lift, raise",B1,verb,sollevare,,,,"Devi sollevare con le gambe, non con la schiena.","You must lift with your legs, not with your back.",
sum,B1,feminine,somma,,,,La somma totale delle spese è superiore al budget previsto.,The total sum of expenses exceeds the planned budget.,
survive,B1,verb,sopravvivere,,,,È riuscito a sopravvivere in condizioni molto difficili.,He managed to survive under very difficult conditions.,
substance,B1,feminine,sostanza,,,,Questa sostanza chimica va maneggiata con grande attenzione.,This chemical has to be handled very carefully.,
underline,B1,verb,sottolineare,,,,Ricorda di sottolineare le parole importanti nel testo.,Remember to underline the important words in the text.,
scare,B1,verb,spaventare,,,,Il rumore improvviso l'ha spaventato molto.,The sudden noise scared him a lot.,
specific,B1,adjective,specifico,,,,Devi essere più specifico quando fai una richiesta.,You need to be more specific when making a request.,
"dense, thick",B1,adjective,spesso,,,,Questo libro ha pagine spesse e resistenti.,This book has thick and sturdy pages.,
spectacular,B1,adjective,spettacolare,,,,La vista dal terrazzo era davvero spettacolare.,The view from the terrace was truly spectacular.,
"plug, thorn",B1,feminine,spina,,,,La spina del caricatore non entra bene nella presa.,The charger plug doesn't fit well in the socket.,
spirit,B1,masculine,spirito,,,,Lo sport aiuta a rafforzare lo spirito di squadra.,Sports help strengthen team spirit.,
move,B1,verb,spostare,,,,Devi spostare la sedia per passare.,You need to move the chair to get through.,
detach,B1,verb,staccare,,,,Devi staccare con calma l'etichetta dal barattolo.,You have to carefully detach the label from the jar.,
barn,B1,feminine,stalla,,,,Le mucche tornano nella stalla la sera.,The cows return to the barn in the evening.,
sneeze,B1,verb,starnutire,,,,Ho dovuto starnutire più volte per via della polvere.,I had to sneeze several times because of the dust.,
sneeze,B1,masculine,starnuto,,,,Lo starnuto è stato così forte che tutti si sono girati.,The sneeze was so loud that everyone turned around.,
extraordinary,B1,adjective,straordinario,,,,Abbiamo vissuto un momento straordinario durante il concerto.,We experienced an extraordinary moment during the concert.,
stressful,B1,adjective,stressante,,,,Il ritmo di lavoro è stato davvero stressante questa settimana.,The pace of work has been really stressful this week.,
structure,B1,feminine,struttura,,,,La struttura del testo è chiara e ben organizzata.,The structure of the text is clear and well organized.,
suggest,B1,verb,suggerire,,,,Ti posso suggerire un libro molto interessante su questo argomento.,I can suggest a very interesting book on this subject.,
subject,B1,masculine,suggetto,,,,Il soggetto di questo film è molto interessante.,The subject of this film is very interesting.,
"overcome, pass",B1,verb,superare,,,,Con impegno puoi superare ogni difficoltà.,"With effort, you can overcome any difficulty.",
disadvantage,B1,masculine,svantaggio,,,,Uno svantaggio di vivere in città è il traffico continuo.,One disadvantage of living in the city is the constant traffic.,
develop,B1,verb,sviluppare,,,,Dobbiamo sviluppare nuove competenze per affrontare il cambiamento.,We need to develop new skills to deal with change.,
development,B1,masculine,sviluppo,,,,Il rapido sviluppo tecnologico ha cambiato il nostro stile di vita.,Rapid technological development has changed our way of life.,
team,B1,masculine,team,,,,Il nostro team lavora bene insieme.,Our team works well together.,
theatrical,B1,adjective,teatrale,,,,L'opera ha una messa in scena molto teatrale.,The play has a very theatrical staging.,
technique,B1,feminine,tecnica,,,,Conosce bene la tecnica del disegno a carboncino.,You are familiar with the charcoal drawing technique.,
technology,B1,feminine,tecnologia,,,,La tecnologia sta cambiando il nostro modo di comunicare.,Technology is changing the way we communicate.,
technological,B1,adjective,tecnologico,,,,Il progresso tecnologico cambia il nostro modo di vivere.,Technological progress is changing the way we live.,
television camera,B1,feminine,telecamera,,,,La telecamera ha registrato tutto quello che è successo.,The camera recorded everything that happened.,
telescope,B1,masculine,telescopio,,,,Ho guardato le stelle con il telescopio.,I looked at the stars with the telescope.,
cloth,B1,masculine,telo,,,,Abbiamo messo un telo sul tavolo per proteggerlo.,We put a cloth on the table to protect it.,
fear,B1,verb,temere,,,,Molti bambini temono il buio.,Many children are afraid of the dark.,
theory,B1,feminine,teoria,,,,"La teoria sembra interessante, ma servono delle prove.","The theory sounds interesting, but evidence is needed.",
therapy,B1,feminine,terapia,,,,La terapia lo ha aiutato a superare un momento difficile.,Therapy helped him get through a difficult time.,
spa,B1,feminine,terme,,,,Le terme della zona sono famose per le loro acque calde.,The local hot springs are famous for their warm waters.,
term,B1,masculine,termine,,,,Alla fine del corso ci sarà un esame su ogni termine studiato.,At the end of the course there will be an exam on each term studied.,
earthquake,B1,masculine,terremoto,,,,Il terremoto ha causato danni in tutta la città.,The earthquake caused damage throughout the city.,
"soil, ground",B1,masculine,terreno,,,,Il terreno qui è fertile e adatto alla coltivazione.,The soil here is fertile and suitable for cultivation.,
territory,B1,masculine,territorio,,,,Quel territorio è stato al centro di numerosi conflitti.,That land has been at the center of many conflicts.,
"pie, savory pie",B1,masculine,tortino,,,,Ho preparato un tortino di verdure per cena.,I prepared a vegetable pie for dinner.,
totally,B1,adverb,totalmente,,,,Sono totalmente d'accordo con te.,I totally agree with you.,
translate,B1,verb,tradurre,,,,Non è facile tradurre le emozioni in parole.,It's not easy to translate emotions into words.,
translation,B1,feminine,traduzione,,,,Sto lavorando alla traduzione di un romanzo inglese.,I am working on the translation of an English novel.,
tragedy,B1,feminine,tragedia,,,,La morte del protagonista è stata una vera tragedia.,The protagonist's death was a real tragedy.,
tragic,B1,adjective,tragico,,,,È stata una notizia tragica che ha colpito tutta la comunità.,It was tragic news that affected the entire community.,
trap,B1,feminine,trappola,,,,L'animale è caduto in una trappola.,The animal fell into a trap.,
move,B1,verb,trasferire,,,,Dovrò trasferire i miei documenti su un nuovo computer.,I will have to transfer my documents to a new computer.,
transformation,B1,feminine,trasformazione,,,,La trasformazione della città negli ultimi anni è stata sorprendente.,The city’s transformation in recent years has been remarkable.,
"treat, deal with",B1,verb,trattare,,,,Il film tratta temi complessi come l'identità e la libertà.,The film deals with complex themes like identity and freedom.,
court,B1,masculine,tribunale,,,,Il testimone ha parlato davanti al tribunale.,The witness spoke before the court.,
make up,B1,verb,truccare,,,,Lei si trucca ogni mattina prima di andare al lavoro.,She puts on makeup every morning before going to work.,
trick,B1,masculine,trucco,,,,È stato solo un trucco per fare uno scherzo divertente.,It was just a trick to play a funny joke.,
tsunami,B1,masculine,tsunami,,,,"Dopo il terremoto, è arrivato anche uno tsunami.","After the earthquake, a tsunami also arrived.",
tunnel,B1,masculine,tunnel,,,,Il tunnel collega le due città sotto la montagna.,The tunnel connects the two cities under the mountain.,
however,B1,conjunction,tuttavia,,,,"Ha studiato molto per l'esame, tuttavia non ha ottenuto un buon voto.","He studied hard for the exam, yet did not get a good grade.",
kill,B1,verb,uccidere,,,,"La polizia ha detto che non voleva uccidere, ma solo difendersi.","The police said he didn't mean to kill, only to defend himself.",
official,B1,adjective,ufficiale,,,,Ha ricevuto una comunicazione ufficiale dal comune.,He received an official communication from the municipality.,
equally,B1,adverb,ugualmente,,,,Devono essere trattati ugualmente.,They must be treated equally.,
"mood, humor",B1,masculine,umore,,,,Il suo umore cambia spesso senza motivo.,His mood often changed for no reason.,
union,B1,feminine,unione,,,,L'unione dei due partiti ha cambiato l'equilibrio politico.,The union of the two parties has changed the political balance.,
unit,B1,feminine,unità,,,,L'unità del gruppo è fondamentale per raggiungere il successo.,Group unity is essential to achieve success.,
universe,B1,masculine,universo,,,,L'universo è così grande che non possiamo immaginarne i confini.,The universe is so big that we cannot imagine its boundaries.,
user,B1,noun,utente,,,,Ogni utente deve creare un account per accedere al servizio.,Every user must create an account to access the service.,
valid,B1,adjective,valido,,,,"Il tuo passaporto non è più valido, devi rinnovarlo.",Your passport is no longer valid; you need to renew it.,
"value, worth",B1,masculine,valore,,,,L'onestà è un valore che rispetto molto.,Honesty is a value that I deeply respect.,
vanilla,B1,feminine,vaniglia,,,,Mi piace il gelato alla vaniglia.,I like vanilla ice cream.,
advantage,B1,masculine,vantaggio,,,,Uno dei vantaggi di questo lavoro è la flessibilità.,One of the advantages of this job is flexibility.,
shame,B1,feminine,vergogna,,,,Ha provato vergogna per il suo comportamento.,He felt shame for his behavior.,
verify,B1,verb,verificare,,,,Devo verificare se tutti i documenti sono completi.,I have to check if all the documents are complete.,
